date,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-01-01,0 ,26656.0,16059.0,9316.0,6876.0,4732.0,2628.0,19622.0,21593.0,1328.0,2142.0,2725.0,6925.0,11155.0,13176.0,5530.0,6194.0,11473.0,13150.0,1276.0,2252.0,7756.0,11518.0,5403.0,3920.0,31778.0,31483.0,138750.0,137916.0,,,,,
2017-01-02,0 ,48955.0,23612.0,15707.0,11779.0,9004.0,4022.0,28408.0,32784.0,2390.0,3940.0,4894.0,13067.0,17811.0,25290.0,8312.0,12346.0,16372.0,20454.0,2522.0,4996.0,13897.0,21470.0,9930.0,8384.0,44671.0,39382.0,222873.0,221526.0,7:02 AM,Train unloaded passenger due to technical problem.,South Bound,Shaw Boulevard,CAT 2
2017-01-03,0 ,80673.0,42090.0,35214.0,28911.0,17569.0,10713.0,40526.0,55749.0,7115.0,10083.0,14867.0,30489.0,34213.0,47859.0,19914.0,27543.0,28529.0,33182.0,11743.0,16301.0,33424.0,40323.0,28486.0,19847.0,74557.0,62265.0,426830.0,425355.0,,,,,
2017-01-04,1 ,79407.0,44395.0,36071.0,31623.0,16845.0,11654.0,42595.0,58454.0,7869.0,11104.0,16491.0,32498.0,36957.0,49474.0,22136.0,27938.0,31787.0,33572.0,12991.0,17334.0,35744.0,41476.0,30687.0,20428.0,79682.0,67506.0,449262.0,447456.0,6:55 PM,Normal operation resumed at 6:55 PM.,North Bound,Buendia,CAT 1
2017-01-05,3 ,78940.0,44540.0,36198.0,31950.0,17300.0,11950.0,42071.0,58642.0,8216.0,11585.0,16959.0,33647.0,36446.0,49883.0,22380.0,28427.0,31805.0,33830.0,13963.0,17685.0,38010.0,42035.0,31843.0,20743.0,75811.0,63752.0,449942.0,448669.0,6:35 PM,Service Interruption due to technical problem. ,North Bound,Buendia,CAT 4
2017-01-06,0 ,82783.0,49404.0,38433.0,33905.0,18238.0,12816.0,45591.0,65526.0,8779.0,11603.0,18487.0,35529.0,39942.0,53642.0,23567.0,29069.0,34613.0,35118.0,15006.0,18542.0,41385.0,45017.0,34558.0,21278.0,81508.0,69703.0,482890.0,481152.0,,,,,
2017-01-07,0 ,57402.0,39377.0,24624.0,22507.0,11015.0,8536.0,38128.0,52543.0,4922.0,6901.0,9967.0,21120.0,28915.0,37651.0,16123.0,17488.0,28678.0,26092.0,7633.0,8010.0,26620.0,28033.0,22752.0,11998.0,59215.0,54363.0,335994.0,334619.0,10:27 PM,Train unloaded passengers at 10:27 PM due to technical problem.,North Bound,Boni Avenue,CAT 3
2017-01-08,0 ,40713.0,24095.0,14997.0,11981.0,7436.0,4657.0,28469.0,33305.0,2652.0,3928.0,5345.0,12339.0,18554.0,23625.0,10002.0,11606.0,18741.0,19111.0,2657.0,4003.0,14768.0,19421.0,9743.0,6837.0,41951.0,40031.0,216028.0,214939.0,,,,,
2017-01-09,0 ,84479.0,43828.0,39750.0,33540.0,19129.0,12154.0,42462.0,58490.0,8674.0,11501.0,16921.0,33363.0,36057.0,50869.0,20914.0,28069.0,32120.0,34652.0,13286.0,19374.0,34738.0,42852.0,31299.0,22256.0,77681.0,64368.0,457510.0,455316.0,3:00 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3
2017-01-10,14 ,81773.0,47386.0,38080.0,34637.0,18149.0,12725.0,45040.0,62978.0,8952.0,11546.0,18316.0,34888.0,39591.0,52734.0,23975.0,30649.0,33305.0,36174.0,15346.0,18710.0,41808.0,43965.0,34381.0,22116.0,80454.0,68764.0,479170.0,477272.0,4:57 AM,Normal operation resumed at 4:57AM.,South Bound,North Avenue - Quezon Avenue,CAT 1
