date,holiday,holiday_reason,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-01-01,1,New Year's Day,0,26656,16059,9316,6876,4732,2628,19622,21593,1328,2142,2725,6925,11155,13176,5530,6194,11473,13150,1276,2252,7756,11518,5403,3920,31778,31483,138750,137916,,,,,
2017-01-02,1, Proclamation No. 117,0,48955,23612,15707,11779,9004,4022,28408,32784,2390,3940,4894,13067,17811,25290,8312,12346,16372,20454,2522,4996,13897,21470,9930,8384,44671,39382,222873,221526,7:02 AM,Train unloaded passenger due to technical problem.,South Bound,Shaw Boulevard,CAT 2
2017-01-03,,,0,80673,42090,35214,28911,17569,10713,40526,55749,7115,10083,14867,30489,34213,47859,19914,27543,28529,33182,11743,16301,33424,40323,28486,19847,74557,62265,426830,425355,,,,,
2017-01-04,,,1,79407,44395,36071,31623,16845,11654,42595,58454,7869,11104,16491,32498,36957,49474,22136,27938,31787,33572,12991,17334,35744,41476,30687,20428,79682,67506,449262,447456,6:55 PM,Normal operation resumed at 6:55 PM.,North Bound,Buendia,CAT 1
2017-01-05,,,3,78940,44540,36198,31950,17300,11950,42071,58642,8216,11585,16959,33647,36446,49883,22380,28427,31805,33830,13963,17685,38010,42035,31843,20743,75811,63752,449942,448669,6:35 PM,Service Interruption due to technical problem. ,North Bound,Buendia,CAT 4
2017-01-06,,,0,82783,49404,38433,33905,18238,12816,45591,65526,8779,11603,18487,35529,39942,53642,23567,29069,34613,35118,15006,18542,41385,45017,34558,21278,81508,69703,482890,481152,,,,,
2017-01-07,,,0,57402,39377,24624,22507,11015,8536,38128,52543,4922,6901,9967,21120,28915,37651,16123,17488,28678,26092,7633,8010,26620,28033,22752,11998,59215,54363,335994,334619,10:27 PM,Train unloaded passengers at 10:27 PM due to technical problem.,North Bound,Boni Avenue,CAT 3
2017-01-08,,,0,40713,24095,14997,11981,7436,4657,28469,33305,2652,3928,5345,12339,18554,23625,10002,11606,18741,19111,2657,4003,14768,19421,9743,6837,41951,40031,216028,214939,,,,,
2017-01-09,,,0,84479,43828,39750,33540,19129,12154,42462,58490,8674,11501,16921,33363,36057,50869,20914,28069,32120,34652,13286,19374,34738,42852,31299,22256,77681,64368,457510,455316,3:00 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3
2017-01-10,,,14,81773,47386,38080,34637,18149,12725,45040,62978,8952,11546,18316,34888,39591,52734,23975,30649,33305,36174,15346,18710,41808,43965,34381,22116,80454,68764,479170,477272,4:57 AM,Normal operation resumed at 4:57AM.,South Bound,North Avenue - Quezon Avenue,CAT 1
2017-01-11,,,2,81600,46387,38332,34104,17971,12546,43592,62612,8932,11529,18172,34226,39216,51825,23445,29959,33775,35738,14760,18552,40106,43111,32826,21590,80213,68926,472940,471105,4:37 AM,Service interruption due to Signaling problem at 4:37 AM.,South Bound,North Avenue - Quezon Avenue,CAT 4
2017-01-12,,,1,79718,45508,36831,33833,17787,12742,41849,60413,9001,11590,18390,33774,38552,51147,23148,28996,32437,35002,14912,18510,39531,43031,33486,21264,78136,66214,463778,462024,7:29 AM,Train unloaded pax at Shaw Blvd Stn SB at 7:29am due to technical problem.,South Bound,Shaw Boulevard,CAT 2
2017-01-13,,,0,83423,49254,39776,34333,18923,13109,45576,69111,9418,12283,19162,36418,41102,54727,24455,29310,34935,35666,15429,19170,41746,45906,36372,22134,84357,71013,494674,492434,4:53 PM,Train unloaded passengers due to technical problem.,South Bound,Buendia,CAT 3
2017-01-14,,,0,60093,41098,27051,24420,11928,9374,41193,58402,4984,7075,11053,22132,31782,39154,17384,17992,30336,27103,8270,8359,28496,28508,24022,12541,62918,61153,359510,357311,11:10 AM,Train unloaded pax at Boni Stn SB at 1110am due to technical problem.,South Bound,Boni Avenue,CAT 3
2017-01-15,,,2,40919,24935,15098,12285,7673,4741,29499,33843,2732,3885,5705,12637,19625,24675,10210,11790,19444,20394,2728,4063,16062,19728,10060,7210,42747,40809,222502,220995,,,,,
2017-01-16,,,0,83181,43503,37755,32857,18957,12489,40376,60870,9272,11953,17771,33161,38188,51461,21728,28805,32465,35707,13278,18534,35966,42641,31973,22286,81581,65673,462491,459940,8:04 AM,Train unloaded passengers due to technical problem.,South Bound,GMA Kamuning,CAT 3
2017-01-17,,,0,81130,45685,38266,34419,18391,13180,44550,61798,9374,12265,18038,34263,39236,52852,23480,30246,33745,35990,15207,18725,39883,43397,33165,22211,80465,68096,474930,473127,5:15 AM,Train unloaded passengers due to technical problem.,South Bound,Boni Avenue,CAT 3
2017-01-18,,,0,80769,45968,38116,34858,18094,12987,43329,63210,9175,12234,18696,34490,39819,52546,24012,30324,34004,35959,15233,18579,40466,43145,34393,21882,81393,69186,477499,475368,6:08 AM,Train removed from the mainline due to technical problem.,South Bound,North Avenue,CAT 3
2017-01-19,,,0,80294,46324,37876,34126,18320,13146,44096,61942,8885,11683,18091,34715,39129,52846,23457,29718,33638,35654,14981,18627,40074,43127,33874,21890,79768,66797,472483,470595,,,,,
2017-01-20,,,0,83811,49822,39816,35599,18778,13894,46942,69493,9281,12167,19356,36795,41295,56312,24889,30555,36147,36798,16218,19264,43207,46158,39187,22576,84939,71411,503866,500844,9:34 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3
2017-01-21,,,0,57655,39694,25279,23517,11645,9441,39422,55426,5116,7085,10046,21032,30392,38653,16858,17756,29942,27501,8294,8353,27919,28583,23329,12617,61346,55623,347243,345281,9:02 PM,Train unloaded passengers due to technical problem.,North Bound,Shaw Boulevard,CAT 3
2017-01-22,,,11,39181,23677,14457,12060,7183,4686,27397,31958,2708,4067,5208,11839,18456,23785,9660,11376,18762,19587,2660,4097,15376,18820,10025,6973,40759,37678,211832,210603,,,,,
2017-01-23,,,6,82013,43384,36604,32170,19294,13047,42455,58297,8629,11857,17650,33905,37680,52050,21157,28429,32030,35751,13788,18421,36028,42189,31551,22243,80718,65094,459597,456837,8:41 AM,Train unloaded passenger due to technical problem.,South Bound,Ortigas,CAT 3
2017-01-24,,,1,79427,45445,37509,34510,18321,12901,43110,61753,9095,11875,18619,34971,38708,52156,23466,30018,33529,35527,15445,19106,40195,43594,34462,22038,80054,66107,471940,470001,8:36 AM,Normal operation resumed at 8:36 AM.,South Bound,Santolan Anapolis - Ortigas,CAT 1
